update_date,update_time,Zip,Positive_Cases
04-16-2020,19:10,62269,20
04-16-2020,19:10,62278,11
04-16-2020,19:10,62294,10
04-16-2020,19:10,62298,22
04-16-2020,19:10,62301,12
04-16-2020,19:10,62305,12
04-16-2020,19:10,62471,10
04-16-2020,19:10,62521,32
04-16-2020,19:10,62526,7
04-16-2020,19:10,62568,20
04-16-2020,19:10,62650,10
04-16-2020,19:10,62702,12
04-16-2020,19:10,62703,6
04-16-2020,19:10,62711,10
04-16-2020,19:10,62801,31
04-16-2020,19:10,62864,7
04-16-2020,19:10,62901,30
04-16-2020,19:10,62959,7
04-15-2020,16:16,60002,28
04-15-2020,16:16,60004,52
04-15-2020,16:16,60005,33
04-15-2020,16:16,60007,47
04-15-2020,16:16,60008,29
04-15-2020,16:16,60010,28
04-15-2020,16:16,60012,15
04-15-2020,16:16,60013,30
04-15-2020,16:16,60014,31
04-15-2020,16:16,60015,66
04-15-2020,16:16,60016,221
04-15-2020,16:16,60018,74
04-15-2020,16:16,60020,8
04-15-2020,16:16,60021,6
04-15-2020,16:16,60022,15
04-15-2020,16:16,60025,130
04-15-2020,16:16,60026,56
04-15-2020,16:16,60030,36
04-15-2020,16:16,60031,65
04-15-2020,16:16,60033,6
04-15-2020,16:16,60035,91
04-15-2020,16:16,60040,9
04-15-2020,16:16,60041,7
04-15-2020,16:16,60042,7
04-15-2020,16:16,60043,13
04-15-2020,16:16,60044,29
04-15-2020,16:16,60045,72
04-15-2020,16:16,60046,46
04-15-2020,16:16,60047,41
04-15-2020,16:16,60048,41
04-15-2020,16:16,60050,29
04-15-2020,16:16,60051,18
04-15-2020,16:16,60053,72
04-15-2020,16:16,60056,92
04-15-2020,16:16,60060,60
04-15-2020,16:16,60061,36
04-15-2020,16:16,60062,81
04-15-2020,16:16,60064,88
04-15-2020,16:16,60067,26
04-15-2020,16:16,60068,92
04-15-2020,16:16,60069,16
04-15-2020,16:16,60070,21
04-15-2020,16:16,60073,122
04-15-2020,16:16,60074,52
04-15-2020,16:16,60076,150
04-15-2020,16:16,60077,123
04-15-2020,16:16,60081,13
04-15-2020,16:16,60083,18
04-15-2020,16:16,60084,44
04-15-2020,16:16,60085,373
04-15-2020,16:16,60087,106
04-15-2020,16:16,60088,21
04-15-2020,16:16,60089,56
04-15-2020,16:16,60090,79
04-15-2020,16:16,60091,64
04-15-2020,16:16,60093,79
04-15-2020,16:16,60096,7
04-15-2020,16:16,60097,6
04-15-2020,16:16,60098,53
04-15-2020,16:16,60099,118
04-15-2020,16:16,60101,94
04-15-2020,16:16,60102,29
04-15-2020,16:16,60103,33
04-15-2020,16:16,60104,141
04-15-2020,16:16,60106,83
04-15-2020,16:16,60107,58
04-15-2020,16:16,60108,29
04-15-2020,16:16,60110,27
04-15-2020,16:16,60115,19
04-15-2020,16:16,60118,10
04-15-2020,16:16,60119,8
04-15-2020,16:16,60120,54
04-15-2020,16:16,60123,56
04-15-2020,16:16,60124,13
04-15-2020,16:16,60126,68
04-15-2020,16:16,60130,46
04-15-2020,16:16,60131,58
04-15-2020,16:16,60133,65
04-15-2020,16:16,60134,14
04-15-2020,16:16,60136,11
04-15-2020,16:16,60137,32
04-15-2020,16:16,60139,64
04-15-2020,16:16,60140,14
04-15-2020,16:16,60142,17
04-15-2020,16:16,60143,13
04-15-2020,16:16,60148,79
04-15-2020,16:16,60153,106
04-15-2020,16:16,60154,64
04-15-2020,16:16,60155,29
04-15-2020,16:16,60156,20
04-15-2020,16:16,60160,84
04-15-2020,16:16,60162,37
04-15-2020,16:16,60163,11
04-15-2020,16:16,60164,58
04-15-2020,16:16,60165,25
04-15-2020,16:16,60169,33
04-15-2020,16:16,60171,29
04-15-2020,16:16,60172,25
04-15-2020,16:16,60173,9
04-15-2020,16:16,60174,20
04-15-2020,16:16,60175,23
04-15-2020,16:16,60176,19
04-15-2020,16:16,60177,14
04-15-2020,16:16,60178,9
04-15-2020,16:16,60181,64
04-15-2020,16:16,60185,48
04-15-2020,16:16,60187,14
04-15-2020,16:16,60188,88
04-15-2020,16:16,60189,28
04-15-2020,16:16,60190,8
04-15-2020,16:16,60191,16
04-15-2020,16:16,60192,13
04-15-2020,16:16,60193,48
04-15-2020,16:16,60194,25
04-15-2020,16:16,60201,98
04-15-2020,16:16,60202,98
04-15-2020,16:16,60203,14
04-15-2020,16:16,60301,10
04-15-2020,16:16,60302,71
04-15-2020,16:16,60304,28
04-15-2020,16:16,60305,15
04-15-2020,16:16,60401,21
