update_date,update_time,Zip,Positive_Cases,Tested
05-04-2020,22:16,60559,158,569
05-04-2020,22:16,60560,46,257
05-04-2020,22:16,60561,78,494
05-04-2020,22:16,60563,84,591
05-04-2020,22:16,60564,77,574
05-04-2020,22:16,60565,107,556
05-04-2020,22:16,60585,45,348
05-04-2020,22:16,60586,171,999
05-04-2020,22:16,60601,57,379
05-04-2020,22:16,60602,7,56
05-04-2020,22:16,60604,10,47
05-04-2020,22:16,60605,131,850
05-04-2020,22:16,60606,31,236
05-04-2020,22:16,60607,295,1123
05-04-2020,22:16,60608,873,2800
05-04-2020,22:16,60609,798,2172
05-04-2020,22:16,60610,153,1042
05-04-2020,22:16,60611,103,1100
05-04-2020,22:16,60612,414,2057
05-04-2020,22:16,60613,258,1169
05-04-2020,22:16,60614,306,1854
05-04-2020,22:16,60615,248,1519
05-04-2020,22:16,60616,273,1610
05-04-2020,22:16,60617,580,2783
05-04-2020,22:16,60618,591,2526
05-04-2020,22:16,60619,615,2632
05-04-2020,22:16,60620,740,2903
05-04-2020,22:16,60621,324,1167
05-04-2020,22:16,60622,361,1627
05-04-2020,22:16,60623,1526,3275
05-04-2020,22:16,60624,475,1673
05-04-2020,22:16,60625,725,2239
05-04-2020,22:16,60626,573,1886
05-04-2020,22:16,60628,667,2534
05-04-2020,22:16,60629,1443,3510
05-04-2020,22:16,60630,396,1722
05-04-2020,22:16,60631,142,1224
05-04-2020,22:16,60632,1308,2937
05-04-2020,22:16,60633,180,1135
05-04-2020,22:16,60634,727,3420
05-04-2020,22:16,60636,404,1126
05-04-2020,22:16,60637,353,2087
05-04-2020,22:16,60638,608,2293
05-04-2020,22:16,60639,1504,3724
05-04-2020,22:16,60640,488,1963
05-04-2020,22:16,60641,644,2306
05-04-2020,22:16,60642,92,585
05-04-2020,22:16,60643,526,2438
05-04-2020,22:16,60644,683,2233
05-04-2020,22:16,60645,667,2113
05-04-2020,22:16,60646,210,1199
05-04-2020,22:16,60647,622,2476
05-04-2020,22:16,60649,498,2072
05-04-2020,22:16,60651,795,2392
05-04-2020,22:16,60652,436,1443
05-04-2020,22:16,60653,318,1473
05-04-2020,22:16,60654,94,525
05-04-2020,22:16,60655,181,1228
05-04-2020,22:16,60656,151,1054
05-04-2020,22:16,60657,224,1630
05-04-2020,22:16,60659,411,1226
05-04-2020,22:16,60660,246,995
05-04-2020,22:16,60661,26,241
05-04-2020,22:16,60706,194,909
05-04-2020,22:16,60707,413,1751
05-04-2020,22:16,60712,114,471
05-04-2020,22:16,60714,441,1359
